OBJECTID,NAME,ADDRESS,FEAT_TYPE,SUB_TYPE,VANITY_NAME,SECONDARY_NAME,BLDG,PARENT_NAME,PARENT_TYPE,ACREAGE,PARENT_ACREAGE,Shape__Area,Shape__Length
3825,XFINITY Live! Philadelphia,1300 PATTISON AVE,Sports Complex,,,,Y,South Philadelphia Sports Complex,Sports Complex,1.21677434,224.82939889,53002.478515625,1210.89239386833
3826,Congregation Temple Beth El,7350-80 LOWBER AVE,House of Worship,,,,Y,,,0.26516908,2839.62372184,11550.7189331055,493.799701112599
3827,Church of the Living God,737-41 N 43RD ST,House of Worship,,,,Y,,,0.06237279,2839.62372184,2716.94781494141,230.055996068969
3828,Burholme Golf Course Building,7370 CENTRAL AVE,Park,,,,Y,Burholme Park,Park,0.23261268,66.19908636,10132.5679321289,477.196099048391
3829,Burholme Golf Garage,7370 CENTRAL AVE,Park,,,,Y,Burholme Park,Park,0.01177127,66.19908636,512.754455566406,90.75797022029
3830,Burholme Park,7370 CENTRAL AVE,Park,,,,Y,Burholme Park,Park,0.0377643,66.19908636,1645.00634765625,167.465578500578
3831,Burholme Park Restrooms,7370 CENTRAL AVE,Park,,,,Y,Burholme Park,Park,0.04267118,66.19908636,1858.74890136719,184.931571419946
3832,Burholme Park Sport Facility,7370 CENTRAL AVE,Park,,,,Y,Burholme Park,Park,0.05216688,66.19908636,2272.38018798828,210.598982440045
3833,Ryerss Carriage House,7370 CENTRAL AVE,Cultural,,,,Y,Ryerss Museum & Library,Cultural,0.03329771,0.22248391,1450.44226074219,152.346812347828
3834,Ryerss Mansion And Library,7370 CENTRAL AVE,Cultural,,,,Y,Ryerss Museum & Library,Cultural,0.18209245,0.22248391,7931.91552734375,407.248859899128
3835,Ryerss Springhouse,7370 CENTRAL AVE,Cultural,,,,Y,Ryerss Museum & Library,Cultural,0.00709375,0.22248391,309.002380371094,71.1390870781495
3836,Hancock Playground,147 MASTER ST,Playground,,,,N,Hancock Playground,Playground,1.74725842,1.79188794,76110.2831420898,1364.5635939921
3837,Masjidullah,7401-27 LIMEKILN PIKE,House of Worship,,,,Y,,,0.43190493,2839.62372184,18813.7036132813,730.186178930088
3838,Covenant Academy Kindergarten,7406 GERMANTOWN AVE,School,,,,Y,,,0.10997475,2839.62372184,4790.48101806641,438.137905810485
3839,New Covenant Church of Philadelphia,7406 GERMANTOWN AVE,House of Worship,,,,Y,,,0.57716204,2839.62372184,25141.0778808594,1707.2012832049
3840,New Covenant High School,7406 GERMANTOWN AVE,School,,,,Y,,,0.57281497,2839.62372184,24951.7200927734,1504.4626721527
3841,New Foundations Charter School,8001-25 TORRESDALE AVE,School,Charter School,,,Y,,,1.34661848,2839.62372184,58658.4660644531,1370.74059073593
3842,Redemption Lutheran Church,8001 BUSTLETON AVE,House of Worship,,,,Y,,,0.25055152,2839.62372184,10913.9803466797,729.910007907666
3843,Plaza,8001 CASTOR AVE,Shopping Center Ground,,,,Y,Plaza,Shopping Center Ground,0.10596868,10.47923834,4615.97735595703,307.214939468706
3844,Church of the Living God,801-03 S 11TH ST,House of Worship,,,,Y,,,0.06230544,2839.62372184,2714.01391601563,233.227360533764
3845,Word Alive Worship Center,801-07 W LUZERNE ST,House of Worship,,,,Y,,,0.13179092,2839.62372184,5740.7890625,390.697531064209
3846,Ukranian Catholic Archdioces,801-09 N 8TH ST,House of Worship,,,,Y,,,0.4090021,2839.62372184,17816.0602416992,858.70155801462
3847,Laboratory Charter School of Communications and Languages School,801-15 N 4TH ST,School,Charter School,,,Y,,,0.17239029,2839.62372184,7509.29083251953,431.230618882275
3848,Pennsylvania Hospital,801-49 PINE ST,Hospital,,,,Y,,,2.58526839,2839.62372184,112613.841369629,3755.06790842168
3849,Bache / Martin School,801 N 22ND ST,School,,Alexander Dallas Bache Public School,,Y,Bache / Martin School,School,0.34300275,1.77292259,14941.1388549805,683.051669610608
3850,Universal Institute Charter School,1415 CATHARINE ST,School,Charter School,,,Y,,,0.57849673,2839.62372184,25199.2168579102,1231.23805891151
3851,Girard Medical Center,801 W GIRARD AVE,Hospital,,,,Y,,,1.91251702,2839.62372184,83308.9079589844,2655.48704436842
3852,Community Church of God,801 W OLNEY AVE,House of Worship,,,,Y,,,0.10448575,2839.62372184,4551.380859375,267.269185613256
3853,Stroller and Wheelchair Rental,3400 W GIRARD AVE,Zoo,,,,Y,Philadelphia Zoological Garden,Park,0.01410976,42.33290949,614.618774414063,101.349673802283
3854,St William's Catholic Church,6200 RISING SUN AVE,House of Worship,,,,Y,,,0.61531371,2839.62372184,26802.9584350586,1302.42660013489
3855,St. Bartholomew's Roman Catholic Church,5524-48 HARBISON AVE,House of Worship,,,St. Bartholomew's School,Y,,,0.73100956,2839.62372184,31842.6496582031,1485.9896979583
3856,Taylor Memorial Baptist Church,3813-21 GERMANTOWN AVE,House of Worship,,,,Y,,,0.11482079,2839.62372184,5001.57354736328,467.727765685813
3857,Temple of Jesus Christ,2903-05 W SUSQUEHANNA AVE,House of Worship,,,,Y,,,0.20932381,2839.62372184,9118.10876464844,548.729530675882
3858,The Hub,3943-45 CHESTNUT ST,University/College Ground,,,,Y,University of Pennsylvania,University/College Ground,0.46486713,259.69284495,20249.5311279297,918.1604300819
3859,Tolentine Community Center Building,1025-33 MIFFLIN ST,Playground,High School,,,Y,,,0.40939512,2839.62372184,17833.1802978516,596.46007036745
3860,Wills Eye Hospital,800-34 WALNUT ST,University/College Ground,,,,Y,Thomas Jeferson University,University/College Ground,1.52588857,24.91251877,66467.446472168,1389.66124627725
3861,Word-Light Christian,3419 HAVERFORD AVE,House of Worship,,,,Y,,,0.02354607,2839.62372184,1025.66247558594,141.91744067755
3862,Cross Tabernacle Baptist Church,2519-21 W HUNTINGDON ST,House of Worship,,,,Y,,,0.07669423,2839.62372184,3340.78753662109,257.823653921571
3863,Jones Tabernacle AME Church,2019-29 DIAMOND ST,House of Worship,,,,Y,,,0.13833002,2839.62372184,6025.63153076172,355.128315856104
3864,Library Branch - Kingsessing,4901 KINGSESSING AVE,Library,,,,Y,Kingsessing Recreation Center,Playground,0.17880783,9.1618232,7788.83770751953,590.449681579465
3865,Sandmeyer Lane Plaza,10010 SANDMEYER LN,Shopping Center Ground,Parking Lot,,,N,Sandmeyer Lane Plaza,Shopping Center Ground,0.49391119,0.74527497,21514.6856079102,1186.2927477441
3866,Cumberland Street Park (Arts & Humanities Village),1001-03 W CUMBERLAND ST,Park,,,,N,,,0.07723902,2839.62372184,3364.51843261719,234.07074284247
3867,Shot Tower Recreation Center,101-31 CARPENTER ST,Playground,,,,N,Shot Tower Recreation Center,Playground,1.28299464,1.4461317,55887.0153808594,1497.13829381333
3868,Lighthouse Field,101 E ERIE AVE,Playground,,,,N,Lighthouse Field,Playground,14.79811983,14.95964916,644603.588867188,4438.77308261302
3869,Simpson Recreation Center,1010 ARROTT ST,Playground,,,,N,Simpson Recreation Center,Playground,4.34953974,4.59266154,189465.236877441,2896.14619427782
3870,10th & Lemon Playground,1015-21 MOUNT VERNON ST,Playground,,,,N,,,0.18752581,2839.62372184,8168.59173583984,390.210149117054
3871,Penrose Plaza,3000 ISLAND AVE,Shopping Center Ground,Parking Lot,,,N,Penrose Plaza,Shopping Center Ground,23.43813158,29.94351323,1020961.03631592,11521.8086141517
3872,Bartram's Mile,3000 S 56TH ST,Park,,,,N,,,8.89228179,2839.62372184,387346.245483398,2792.86271351706
3873,30th & Jefferson Playground,3001-15 JEFFERSON ST,Playground,,,,N,,,1.20720955,2839.62372184,52585.837890625,918.343453178462
3874,Byberry Cemetery,3001 BYBERRY RD,Cemetery,,,,N,Byberry Cemetery,Cemetery,3.98509324,4.20103206,173589.99041748,2669.93653058606
3875,Garden,5010-16 BROWN ST,Garden,,,,N,Garden,Garden,0.08247843,3.80332928,3592.74627685547,239.786843135685
3876,Frankford Stadium,5021 RUTLAND ST,Sports Complex,Stadium,,,N,Frankford Stadium,Sports Complex,3.29084543,3.56770497,143348.653808594,2342.06493631659
3877,Spring Garden College,7406 GERMANTOWN AVE,School,,,,Y,,,1.90140386,2839.62372184,82824.8208007813,3339.31431709339
3878,Mt Zion Holy Church,742 BROOKLYN ST,House of Worship,,,,Y,,,0.02374508,2839.62372184,1034.33135986328,168.808116021913
3879,Target Center,7422 BUSTLETON AVE,Shopping Center Ground,,,,Y,Target Center,Shopping Center Ground,3.18937421,14.45799235,138928.584960938,1582.8950356157
3880,Library Branch - Overbrook Park,7422 HAVERFORD AVE,Library,,,,Y,,,0.1548487,2839.62372184,6745.18249511719,351.810155937849
3881,Mill Creek Playground,743-81 N 48TH ST,Playground,,,,Y,Mill Creek Playground,Playground,0.00589711,2.62665823,256.876892089844,73.6314078505837
3882,Mill Creek Playground Building,743-81 N 48TH ST,Playground,,,,Y,Mill Creek Playground,Park,0.07940113,2.62665823,3458.69940185547,253.975502144764
3883,Victory Outreach Church of West Philadelphia (VOWP),743 N 44TH ST,House of Worship,,,,Y,,,0.02462402,2839.62372184,1072.61804199219,167.723463253594
3884,Christ School For Living,743 OAK LN,School,,,,Y,,,0.08625564,2839.62372184,3757.28051757813,258.27964649878
3885,Old Saint Mary's Church,242-52 S 4TH ST,House of Worship,,,,Y,Old Saint Mary's Cemetery,Cemetery,0.25288094,0.84515814,11015.4495239258,634.889582876168
3886,Parent Infant Center,4201 SPRUCE ST,University/College Ground,,,,Y,University of Pennsylvania,University/College Ground,0.65713318,259.69284495,28624.6069946289,1992.65690028014
3887,Parenti Plaza,508-14 S 42ND ST,University/College Ground,,,,Y,University of the Sciences in Philadelphia,University/College Ground,0.14948564,24.11346837,6511.56848144531,408.990902698342
3888,Crispin Gardens Athletic Club,2870 WILLITS RD,Playground,,,,Y,Holme Crispin Park,Park,0.05844212,27.82347723,2545.72839355469,314.364099738126
3889,Perry World House,3801-51 LOCUST WALK,University/College Ground,,,,Y,University of Pennsylvania,University/College Ground,0.0225819,259.69284495,983.66357421875,133.344073220668
3890,Medical Center,8015-21 FRANKFORD AVE,Health Center,,,,Y,Medical Center,Health Center,0.41156139,0.66160238,17927.5424194336,659.672083309164
3891,Houseman Playground,802 E GODFREY AVE,Playground,,,,Y,Houseman Playground,Playground,0.0130325,8.67707349,567.693237304688,101.032696437469
3892,Houseman Pool Building,802 E GODFREY AVE,Playground,,,,Y,Houseman Playground,Park,0.08717029,8.67707349,3797.12268066406,292.594440365615
3893,Houseman Recreation Center Building,802 E GODFREY AVE,Playground,,,,Y,Houseman Playground,Park,0.22920968,8.67707349,9984.33349609375,442.527505274856
3894,Faith & Love Center Pentecostal,8032 THOURON AVE,House of Worship,,,,Y,,,0.0623616,2839.62372184,2716.46051025391,238.530339676754
3895,New Media Technology Charter School,8034-42 THOURON AVE,School,Charter School,,,Y,,,0.56633536,2839.62372184,24669.469543457,848.841361104075
3896,The Christian Church in Philadelphia,8040 STENTON AVE,House of Worship,,,,Y,,,0.19329401,2839.62372184,8419.85321044922,526.971626278296
3897,Insectarium,8046 FRANKFORD AVE,Museum,,,,Y,,,0.37125648,2839.62372184,16171.8676757813,787.53483378788
3898,Bell Telephone Building,8318-24 GERMANTOWN AVE,Building,,Bell of Pernnsylvania,,Y,Bell Telephone Building,Building,0.53001207,1.46211549,23087.233215332,804.566500240881
3899,Christine Manley Hall,2035 S COLLEGE AVE,School,,,,Y,Girard College School,School,0.27058672,42.73625004,11786.7105102539,506.667654460433
3900,Constitution Hall,2035 S COLLEGE AVE,School,,,,Y,Girard College School,School,0.24005669,42.73625004,10456.8275756836,577.225021322155
3901,Girard College School,2035 S COLLEGE AVE,School,,,,Y,Girard College School,School,0.0039438,42.73625004,171.79150390625,52.4454132710129
3902,Lower (Elementary) School,2035 S COLLEGE AVE,School,,,,Y,Girard College School,School,0.52626933,42.73625004,22924.2004394531,1037.99637129665
3903,2100 Kitty Hawk Ave,,Complex,,,,Y,The Navy Yard,Complex,0.87377134,875.6747292,38061.3270874023,839.437110046418
3904,St. Peter's Cemetery,400-36 S 3RD ST,Cemetery,,,,N,St. Peter's Cemetery,Cemetery,1.36944109,1.70713693,59652.6141967773,1617.45739155028
3905,29th & Passyunk Playground,2827 W PASSYUNK AVE,Playground,,,,N,,,0.53089424,2839.62372184,23125.6605834961,625.95365568269
3906,Holme Circle Shopping Center,2847-67 HOLME AVE,Shopping Center Ground,Parking Lot,,,N,Holme Circle Shopping Center,Shopping Center Ground,1.98433542,2.77410215,86437.3650512695,2787.41328866569
3907,Crispin Gardens Athletic Club,2870 WILLITS RD,Playground,,,,N,Holme Crispin Park,Park,5.06908944,27.82347723,220808.652770996,1960.70890863634
3908,Holme Crispin Cemetery,2870 WILLITS RD,Cemetery,,,,N,,,0.29333898,2839.62372184,12777.7948608398,454.087643851745
3909,Wister Playground,4971 BAYNTON ST,Playground,,,,N,Wister Playground,Playground,2.81903313,2.87416356,122796.582763672,1745.29768116391
3910,Awbury Arboretum,5 AWBURY RD,Park,Arboretum,,,N,Awbury Arboretum,Park,55.04866824,55.31117454,2397910.13299561,16416.5986776249
3911,Mifflin Square,500 WOLF ST,Park,,,,N,,,4.17189602,2839.62372184,181727.063842773,1689.65248594885
3912,Daisy Field,5000 HERMIT LN,Playground,,,,N,Wissahickon Valley Park,Park,3.87370011,2053.93558733,168737.647583008,1911.19340206044
3913,1900 Kitty Hawk Ave,,Complex,,,,Y,The Navy Yard,Complex,5.67454422,875.6747292,247182.157287598,2606.24453120913
3914,5000 S 18th St,,Complex,,,,Y,The Navy Yard,Complex,0.01877021,875.6747292,817.627319335938,117.806452746936
3915,5001 S 16th St,,Complex,,,,Y,The Navy Yard,Complex,0.50210535,875.6747292,21871.6217041016,726.857146254177
3916,1521 Flagship Dr,,Complex,,,,Y,The Navy Yard,Complex,0.52253217,875.6747292,22761.4103393555,726.643327901385
3917,1901 Kitty Hawk Ave,,Complex,,,,Y,The Navy Yard,Complex,1.47211915,875.6747292,64125.2536621094,2707.10657531514
3918,5001 S 15th St,,Complex,,,,Y,The Navy Yard,Complex,0.65664298,875.6747292,28603.2539672852,885.591383949904
3919,5000 S 15th St,,Complex,,,,Y,The Navy Yard,Complex,0.58432618,875.6747292,25453.1465454102,932.999250633295
3920,5000 S Broad St,,Complex,,,,Y,The Navy Yard,Complex,0.74364105,875.6747292,32392.8743896484,992.641782644625
3921,Rhoads Pavilion,3400 SPRUCE ST,Hospital,,,,Y,University of Pennsylvania,University/College Ground,0.48587547,259.69284495,21164.6506958008,759.668099179023
3922,Pinn Memorial Baptist Church,5330-98 WYNNEFIELD AVE,House of Worship,,,,Y,,,0.73616233,2839.62372184,32067.1000976563,1302.33795081541
3923,RevZilla showroom,,Complex,,,,Y,The Navy Yard,Complex,1.20618069,875.6747292,52541.020690918,1088.30089086193
3924,Riverview Plaza,1100 S CHRIS COLUMBUS BLV,Shopping Center Ground,,,,Y,Riverview Plaza,Shopping Center Ground,2.06950275,4.77158346,90147.1792602539,1927.43647731538
3925,Saint Francis Xavier Church,2319-31 GREEN ST,House of Worship,,,,Y,,,0.45310126,2839.62372184,19737.0121459961,815.11546814399
3926,Saints Tabernacle Church,5812 N MARVINE ST,House of Worship,,,,Y,,,0.17165382,2839.62372184,7477.21063232422,398.302688821549
3927,Saints Tabernacle School,5812 N MARVINE ST,School,,,,Y,,,0.1298706,2839.62372184,5657.14074707031,349.127769379344
3928,Antioch Christian Fellowship,4721-23 CHESTNUT ST,House of Worship,,,,Y,,,0.27662452,2839.62372184,12049.7158203125,543.728591055992
3929,Arch Street Presbyterian Church,1726-32 ARCH ST,House of Worship,,,,Y,,,0.33675747,2839.62372184,14669.0966186523,543.411688216849
3930,Beulah Baptist Christian Day School,5001-21 SPRUCE ST,School,Day Care,,,Y,,,0.40758798,2839.62372184,17754.4612426758,654.745621757049
3931,Navigator Hall,2035 S COLLEGE AVE,School,,,,Y,Girard College School,School,0.24182021,42.73625004,10533.6461181641,577.153008476124
3932,Public Safety Lodge,2035 S COLLEGE AVE,School,,,,Y,Girard College School,School,0.01008592,42.73625004,439.341003417969,87.6306295813368
3933,Director of Public Safety Lodge,2035 S COLLEGE AVE,School,,,,Y,Girard College School,School,0.01025926,42.73625004,446.891235351563,87.7335055462239
3934,Alexandria Residence Hall,516-26 S 42ND ST,University/College Ground,,,,Y,University of the Sciences in Philadelphia,University/College Ground,0.20867388,24.11346837,9089.79803466797,537.95913436325
3935,Autopark at Jeferson,1015-19 CHESTNUT ST,University/College Ground,,,,Y,Thomas Jeferson University,University/College Ground,0.94187905,24.91251877,41028.0874023438,1163.59254990026
3936,Hetzell Playground,1301 E COLUMBIA AVE,Playground,,,,N,Hetzell Playground,Playground,2.44921977,2.46357171,106687.61315918,1448.35154772484
3937,Washington Avenue Green,1301 S CHRIS COLUMBUS BLV,Park,,,,N,,,2.44167636,2839.62372184,106358.996887207,2206.87670068876
3938,Daniel Boyle Recreation Center,13024 STEVENS RD,Playground,,,,N,Daniel Boyle Recreation Center,Playground,10.59194797,10.69151572,461383.466369629,3374.67154565546
3939,Trevose Center,13032 BUSTLETON AVE,Shopping Center Ground,Parking Lot,,,N,Trevose Center,Shopping Center Ground,0.7132015,1.13404806,31066.9301147461,1819.26947979299
3940,Hart Playground,1315-21 N 4TH ST,Playground,,,,N,,,0.22733323,2839.62372184,9902.59594726563,449.984489725928
3941,Merritt Square Park,1321 STEINBER ST,Park,,,,N,,,0.56397668,2839.62372184,24566.7259521484,618.892762971981
3942,Glen Foerd,5001 GRANT AVE,Cultural,Park,,,N,Glen Foerd,Cultural,20.92576782,21.57495487,911522.583496094,5819.89440429428
3943,Olney Plaza Shopping Center,5675 N FRONT ST,Shopping Center Ground,Parking Lot,,,N,Olney Plaza Shopping Center,Shopping Center Ground,21.98890686,31.00436404,957832.858642578,12276.5049317518
3944,Wissahickon Neighbors Playground,3901 TERRACE ST,Playground,,,,N,Wissahickon Neighbors Playground,Playground,0.39681709,0.4052308,17285.2817382813,601.735332971646
3945,Ford Road North Playground,3905 FORD RD,Playground,,,,N,West Fairmount Park,Park,1.43911632,1360.43215983,62687.66015625,1104.55701156576
3946,Conshohocken Playground,3910-18 CONSHOHOCKEN AVE,Playground,,,,N,Conshohocken Playground,Playground,2.53171512,2.57455551,110281.086608887,1762.19755137082
3947,Woodside Park,3910-18 CONSHOHOCKEN AVE,Park,,,,N,,,0.03777237,2839.62372184,1645.35784912109,1640.34564559982
3948,Houseman Playground,802 E GODFREY AVE,Playground,,,,N,Houseman Playground,Playground,8.34766102,8.67707349,363622.456298828,3628.97484115452
3949,Wakefield Park,5100 N 16TH ST,Park,,,,N,,,13.24840211,2839.62372184,577098.087036133,4765.50567258133
3950,Palestra,200A S 32ND ST,University/College Ground,,,,Y,University of Pennsylvania,University/College Ground,1.11193404,259.69284495,48435.6529541016,934.490345151013
3951,Ringe Squash Courts,200A S 32ND ST,University/College Ground,,,,Y,University of Pennsylvania,University/College Ground,0.35253505,259.69284495,15356.365234375,517.284515809574
3952,Vagelos Labs IAST,221 S 34TH ST,University/College Ground,,,,Y,University of Pennsylvania,University/College Ground,0.39099382,259.69284495,17031.6225585938,560.75982374335
3953,1958 Wing,221 S 34TH ST,University/College Ground,,,,Y,University of Pennsylvania,University/College Ground,0.21786146,259.69284495,9490.00701904297,484.560823968502
3954,Cret Wing,221 S 34TH ST,University/College Ground,,,,Y,University of Pennsylvania,University/College Ground,0.16168897,259.69284495,7043.14331054688,355.767471108482
3955,Moore School,3300-20 WALNUT ST,University/College Ground,,,,Y,University of Pennsylvania,University/College Ground,0.31893383,259.69284495,13892.7018432617,471.414649675299
3956,Skirkanich Hall,3300-20 WALNUT ST,University/College Ground,,,,Y,University of Pennsylvania,University/College Ground,0.22456414,259.69284495,9781.97442626953,422.635360866011
3957,University of Pennsylvania Grad Research Wing,3300-20 WALNUT ST,University/College Ground,,,,Y,University of Pennsylvania,University/College Ground,0.10410258,259.69284495,4534.69030761719,311.497127886134
3958,Cliveden Park,501 E JOHNSON ST,Park,,,,N,Cliveden Park,Park,5.93987167,5.97112955,258739.829345703,2304.19540256896
3959,West Mill Creek Playground,,Playground,,,,N,West Mill Creek Playground,Playground,5.59819478,5.66098227,243856.337219238,5003.51888640847
3960,Ridgway Pool,1301 CARPENTER ST,Swimming Pool,,,,N,,,1.00830815,2839.62372184,43921.7271118164,915.938926873593
3961,Greble Post (War Memorial),1327 S 3RD ST,Park,,,,N,,,0.04997125,2839.62372184,2176.73889160156,210.523268243193
